id,title,budget,release_date,revenue,runtime,status
8527,Wag the Dog,15000000,1997-12-25,64256513,97,Released
8528,Wait Until Dark,4000000,1967-10-26,11000000,108,Released
8529,Waiting to Exhale,16000000,1995-12-22,81452156,127,Released
8530,Waiting...,3000000,2005-10-07,18637690,94,Released
8531,Waitress,2000000,2007-05-25,22179430,108,Released
8532,Wake Up Sid,3000000,2009-10-02,11000000,138,Released
8533,Waking the Dead,8500000,2000-03-23,327418,105,Released
8534,Walk Hard: The Dewey Cox Story,35000000,2007-12-21,18317151,96,Released
8535,Walk of Shame,15000000,2014-05-02,59209,95,Released
8536,Walk on Water,1400000,2004-02-05,,103,Released
8537,Walk the Line,28000000,2005-09-13,186438883,136,Released
8538,Walker,5800000,1987-12-04,257043,94,Released
8539,Walking Tall,56000000,2004-04-02,57223890,86,Released
8540,Walking Vengeance,19000000,2008-10-31,,129,Released
8541,Walking With Dinosaurs,80000000,2013-12-18,126546518,87,Released
8542,Walkout,9500000,2006-03-18,,110,Released
8543,Wall Street,15000000,1987-12-10,43848069,126,Released
8544,Wall Street: Money Never Sleeps,70000000,2010-09-02,134748021,133,Released
8545,Walled In,10000000,2009-02-20,,92,Released
8546,Walter,700000,2015-03-13,,87,Released
8547,Waltz with Bashir,2000000,2008-06-25,11125849,90,Released
8548,Waltzing Anna,1000000,2006-08-11,11455,108,Released
8549,Wanderlust,35000000,2012-02-23,24159934,98,Released
8550,Wanted,75000000,2008-06-19,258270008,110,Released
8551,Wanted,75,2009-09-18,134,129,Released
8552,War,25000000,2007-08-24,40452643,103,Released
8553,War Dogs,40000000,2016-08-17,86234523,114,Released
8554,War Horse,66000000,2011-12-25,177584879,146,Released
8555,War Machine,60000000,2017-05-26,,122,Released
8556,War Room,3000000,2015-08-28,67790117,120,Released
8557,War Wolves,500000,2009-03-08,,104,Released
8558,War and Peace,6000000,1956-08-21,12500000,208,Released
8559,War and Peace,100000000,1966-03-14,,422,Released
8560,War for the Planet of the Apes,152000000,2017-07-11,369907963,140,Released
8561,War of the Arrows,8000000,2011-08-10,49000000,122,Released
8562,War of the Worlds,132000000,2005-06-28,591739379,116,Released
8563,"War, Inc.",5000000,2008-04-28,1296184,106,Released
8564,WarGames,12000000,1983-06-03,79567667,114,Released
8565,Warcraft,160000000,2016-05-25,433677183,123,Released
8566,Warlock,7000000,1989-06-01,,103,Released
8567,Warlock III: The End of Innocence,2000000,1999-10-12,,94,Released
8568,Warm Bodies,35000000,2013-01-31,116980662,97,Released
8569,Warrior,25000000,2011-09-09,23057115,140,Released
8570,Warrior of the Lost World,500000,1983-01-01,,92,Released
8571,Warriors of the Rainbow: Seediq Bale - Part 1: The Sun Flag,25000000,2011-04-09,,144,Released
8572,Warsaw 44,6700000,2014-09-19,,130,Released
8573,Wasabi,15300000,2001-10-31,,94,Released
8574,Waste Land,1500000,2010-01-24,187716,90,Released
8575,Watching the Detectives,2000000,2007-05-01,,90,Released
8576,Watchmen,130000000,2009-03-05,185258983,163,Released
8577,Water for Elephants,38000000,2011-03-15,114156230,120,Released
8578,Waterloo,25000000,1970-10-26,3052000,128,Released
8579,Watership Down,1000000,1978-10-14,3713768,88,Released
8580,Waterworld,175000000,1995-07-28,264218220,135,Released
8581,Way of the Wicked,3000000,2014-05-20,,92,Released
8582,Waydowntown,555000,2000-01-01,,84,Released
8583,Wayne's World,20000000,1992-02-14,121697323,94,Released
8584,Wazir,5200000,2016-01-07,9200000,102,Released
8585,We Are Marshall,65000000,2006-12-12,43545364,124,Released
8586,We Are The Nobles,2000000,2013-03-28,,108,Released
8587,We Are Your Friends,6000000,2015-08-26,11122090,96,Released
8588,We Are the Pirates of the Roads,1700000,2015-03-27,,85,Released
8589,We Bought a Zoo,50000000,2011-12-22,120081841,124,Released
8590,We Don't Live Here Anymore,3000000,2004-01-20,2037545,101,Released
8591,We Have a Pope,11000000,2011-04-15,,102,Released
8592,We Need to Talk About Kevin,7000000,2011-09-28,6038942,112,Released
8593,We Own the Night,21000000,2007-05-25,54926886,117,Released
8594,We Should Not Exist,1,2006-05-23,,0,Released
8595,We Were Soldiers,75000000,2002-03-01,114660784,138,Released
8596,We're No Angels,20000000,1989-12-15,,106,Released
8597,We're the Millers,37000000,2013-08-07,269994119,110,Released
8598,Weasels Rip My Flesh,400,1979-01-01,,67,Released
8599,Wedding Crashers,40000000,2005-07-14,285176741,119,Released
8600,Wedding Day,350000,2012-06-15,,92,Released
8601,Weekend,8000,2011-09-22,484592,96,Released
8602,Weekend at Bernie's,6500000,1989-07-05,30218387,97,Released
8603,Welcome Home Roscoe Jenkins,35000000,2008-02-08,43650785,114,Released
8604,Welcome to Collinwood,1200000,2002-05-24,,86,Released
8605,Welcome to Dongmakgol,8,2005-08-04,33579813,133,Released
8606,Welcome to Mooseport,30000000,2004-02-24,14000000,110,Released
8607,Welcome to the Jungle,3500000,2013-04-27,,95,Released
8608,Welcome to the North,6000000,2012-01-18,35000000,110,Released
8609,Welcome to the Punch,8500000,2013-03-15,9747,99,Released
8610,Welcome to the South,4000000,2010-10-01,65584679,102,Released
8611,Welcome to the Sticks,11000000,2008-01-09,53191886,106,Released
8612,Wendy Wu: Homecoming Warrior,6000000,2006-06-16,,90,Released
8613,Wendy and Lucy,200000,2008-05-22,,80,Released
8614,Werewolf,350000,1995-01-01,,99,Released
8615,Werewolf: The Beast Among Us,5000000,2012-10-09,,93,Released
8616,West Is West,3837625,2010-10-19,3867000,103,Released
8617,West Side Story,6000000,1961-10-18,43656822,152,Released
8618,West of Zanzibar,259000,1928-11-24,921000,65,Released
