id,title,budget,release_date,revenue,runtime,status
1924,Detention,10000000,2011-03-16,,93,Released
1925,Detention of the Dead,500000,2012-04-27,,87,Released
1926,Detour,30,1945-11-30,,67,Released
1927,Detour,2200000,2009-07-31,,77,Released
1928,Detroit,34000000,2017-07-28,,143,Released
1929,Detroit Rock City,6500000,1999-08-13,4217115,95,Released
1930,Deuce Bigalow: European Gigolo,22000000,2005-08-06,22400154,83,Released
1931,Deuce Bigalow: Male Gigolo,17000000,1999-12-10,65535067,88,Released
1932,Deuce of Spades,25000,2010-06-01,,0,Released
1933,Devdas,12500000,2002-07-12,,185,Released
1934,Devil,10000000,2010-01-13,33583175,80,Released
1935,Devil in a Blue Dress,27000000,1995-09-15,16140822,102,Released
1936,Devil's Bride,3100000,2016-09-09,,108,Released
1937,Devil's Den,1500000,2006-10-22,,84,Released
1938,Devil's Due,7000000,2014-01-08,36433975,89,Released
1939,Devil's Knot,15000000,2013-05-09,,114,Released
1940,Devil's Playground,2400000,2010-08-21,,93,Released
1941,Dheena,500000,2001-01-14,500000,157,Released
1942,Dhoom,1500000,2004-08-27,12000000,124,Released
1943,Dhoom 2,11000000,2006-11-24,46396427,147,Released
1944,Dhoom 3,19500000,2013-12-18,91000000,172,Released
1945,Dial M for Murder,1400000,1954-05-29,3000000,104,Released
1946,Diamond Cartel,7000000,2017-03-24,,100,Released
1947,Diamonds Are Forever,7200000,1971-12-13,116019547,120,Released
1948,Diana,15000000,2013-09-19,21766271,113,Released
1949,Diary of a Wimpy Kid,15000000,2010-03-19,75700498,92,Released
1950,Diary of a Wimpy Kid: Dog Days,22000000,2012-08-02,77112176,94,Released
1951,Diary of a Wimpy Kid: Rodrick Rules,21000000,2011-03-25,72417394,99,Released
1952,Diary of a Wimpy Kid: The Long Haul,22000000,2017-05-19,40120144,91,Released
1953,Diary of the Dead,2000000,2007-09-08,5364858,95,Released
1954,Dibu: La Película,3000000,1997-07-10,,105,Released
1955,Dick,13000000,1999-08-04,27500000,94,Released
1956,Dick Figures: The Movie,313411,2013-09-16,,73,Released
1957,Dick Tracy,47000000,1990-06-15,103738726,103,Released
1958,Did You Hear About the Morgans?,58000000,2009-12-17,85280250,103,Released
1959,Die Another Day,140000000,2002-11-17,431971116,133,Released
1960,Die Hard,28000000,1988-07-15,140767956,131,Released
1961,Die Hard 2,70000000,1990-07-02,240031094,124,Released
1962,Die Hard: With a Vengeance,90000000,1995-05-19,366101666,128,Released
1963,Dieter - The Movie,6907750,2006-03-04,,85,Released
1964,Diggstown,17000000,1992-08-14,4836637,98,Released
1965,Digimon: The Movie,5500000,2000-03-17,,82,Released
1966,Dil Chahta Hai,2079000,2001-07-24,4099000,183,Released
1967,Dil Dhadakne Do,13000000,2015-06-05,22000000,170,Released
1968,Dil Se..,5200000,1998-08-22,13000000,163,Released
1969,Dil To Pagal Hai,1300000,1997-10-30,11000000,179,Released
1970,Dillinger,1000000,1973-07-20,2000000,107,Released
1971,Dilwale,26000000,2015-12-18,61000000,158,Released
1972,Dilwale Dulhania Le Jayenge,13200000,1995-10-20,100000000,190,Released
1973,Dingo,200000,1991-06-02,300000,109,Released
1974,Dinner for Schmucks,69000000,2010-07-30,86387857,114,Released
1975,Dinosaur,127500000,2000-05-19,354248063,82,Released
1976,Direct Contact,6000000,2009-04-16,,90,Released
1977,Dirty,3000000,2005-11-10,,97,Released
1978,Dirty Dancing,6000000,1987-08-21,213954274,100,Released
1979,Dirty Dancing: Havana Nights,25000000,2004-02-27,27685016,86,Released
1980,Dirty Girl,4000000,2010-09-12,55125,90,Released
1981,Dirty Grandpa,11500000,2016-01-21,94073028,102,Released
1982,Dirty Harry,4000000,1971-12-21,35976000,102,Released
1983,Dirty Lies,1000000,2016-02-27,,94,Released
1984,Dirty Movie,1150000,2011-02-15,,91,Released
1985,Disaster Movie,25000000,2008-08-29,14109284,87,Released
1986,Disaster!,2980000,2006-07-20,,83,Released
1987,Disclosure,55000000,1994-12-09,214015089,123,Released
1988,Disconnect,10000000,2012-09-11,3428048,115,Released
1989,District 13: Ultimatum,15000000,2009-02-18,8786375,101,Released
1990,District 9,30000000,2009-08-05,210819611,112,Released
1991,District B13,12000000,2004-11-09,9584131,84,Released
1992,Disturbia,20000000,2007-04-12,117760134,105,Released
1993,Disturbing Behavior,15000000,1998-07-24,17507368,84,Released
1994,Divergent,85000000,2014-03-14,288747895,139,Released
1995,Divine Secrets of the Ya-Ya Sisterhood,27000000,2002-06-07,,116,Released
1996,Divines,2791874,2016-08-31,,105,Released
1997,Diên Biên Phu,30000000,1992-03-04,,125,Released
1998,Django Unchained,100000000,2012-12-25,425368238,165,Released
1999,Do Not Disturb,5000000,2012-10-03,,120,Released
2000,Do the Right Thing,6500000,1989-06-30,37295445,120,Released
2001,Doctor Dolittle,71000000,1998-06-22,294456605,85,Released
2002,Doctor Dolittle,18000000,1967-12-19,9000000,152,Released
2003,Doctor Mordrid,2000000,1992-11-02,,72,Released
2004,Doctor Strange,165000000,2016-10-25,677718395,115,Released
2005,Doctor Who,5000000,1996-03-31,42000000,89,Released
2006,Doctor Zhivago,11000000,1965-12-22,111858363,197,Released
2007,DodgeBall: A True Underdog Story,20000000,2004-06-18,167722310,92,Released
2008,Dog Day Afternoon,1800000,1975-08-11,46665856,125,Released
2009,Dogma,10000000,1999-11-12,30652890,130,Released
2010,Dogville,10000000,2003-05-19,16680836,178,Released
2011,Dolan's Cadillac,10000000,2009-10-23,,81,Released
2012,Dolphin Tale,37000000,2011-09-23,95404397,113,Released
2013,Dolphin Tale 2,36000000,2014-09-12,52424533,107,Released
2014,Domestic Disturbance,75000000,2001-10-30,54249294,89,Released
2015,Dominion: Prequel to the Exorcist,30000000,2005-05-20,251495,117,Released
2016,Domino,50000000,2005-09-22,22944502,127,Released
2017,Don : The Chase Begins Again,7100000,2006-10-20,,178,Released
2018,Don Giovanni,7000000,1979-11-06,,176,Released
2019,Don Jon,6000000,2013-07-26,,90,Released
2020,Don Juan DeMarco,25000000,1994-10-01,22200000,97,Released
2021,Don't Be Afraid of the Dark,25000000,2010-11-06,36993168,99,Released
2022,Don't Breathe,9900000,2016-08-25,157100845,88,Released
2023,Don't Come Knocking,11000000,2005-05-19,,123,Released
2024,Don't Go in the House,250000,1980-03-28,,82,Released
2025,Don't Go to the Reunion,18000,2013-10-05,,70,Released
2026,Don't Kill It,3500000,2016-08-27,,93,Released
2027,Don't Let Him In,1150000,2011-06-12,,76,Released
2028,Don't Look Back,13000000,2009-05-16,,110,Released
2029,Don't Look Now,1500000,1973-12-03,,110,Released
2030,Don't Say a Word,50000000,2001-09-28,100020092,113,Released
2031,Don't Tell Mom the Babysitter's Dead,10000000,1991-06-07,25196249,105,Released
2032,Don't Tempt Me,1200000,2001-11-30,,95,Released
2033,"Don't call him ""Dimon""",7200,2017-03-02,,0,Released
2034,Donner Pass,300000,2012-11-15,,90,Released
2035,Donnie Brasco,35000000,1997-02-27,41954997,127,Released
2036,Donnie Darko,6000000,2001-01-18,1270522,113,Released
2037,Donovan's Reef,2686000,1963-06-12,6600000,109,Released
2038,Doom,60000000,2005-10-20,55987321,105,Released
2039,Doomed! The Untold Story of Roger Corman's The Fantastic Four,50000,2015-07-10,,85,Released
2040,Doomsday,30000000,2008-03-14,22211426,108,Released
2041,Dope,700000,2015-06-19,17986781,103,Released
2042,Dormant Beauty,5700000,2012-09-01,,115,Released
2043,Dorothy Mills,500000,2008-08-06,,102,Released
2044,Dostana,10000000,2008-11-13,20000000,142,Released
2045,Double Dragon,3500000,1994-11-04,2341309,89,Released
2046,Double Impact,15000000,1991-07-31,30102717,110,Released
2047,Double Indemnity,927262,1944-04-24,2500000,107,Released
2048,Double Jeopardy,70000000,1999-09-24,177841558,105,Released
2049,Double Team,30000000,1997-04-04,,93,Released
2050,Double Wedding,104002432,2010-07-20,,87,Released
2051,Doubt,20000000,2008-11-27,50907234,104,Released
2052,Doug Stanhope: Oslo - Burning the Bridge to Nowhere,10000,2011-05-03,,89,Released
2053,Down,15000000,2001-05-11,163169,111,Released
2054,Down Terrace,31192,2009-09-01,10000,89,Released
2055,Down Under,2000000,2016-08-11,,90,Released
2056,Down and Out in Beverly Hills,14000000,1986-01-31,62134225,103,Released
2057,Down in the Valley,8000000,2005-05-13,852872,112,Released
2058,Down to You,9000000,2000-01-21,,91,Released
2059,Down with Love,35000000,2003-05-08,20298207,101,Released
2060,Downfall,18339750,2004-09-08,92180910,156,Released
2061,Downhill Racer,16500000,1969-11-06,,101,Released
2062,Downloading Nancy,3000000,2008-01-21,,102,Released
2063,Downstream,1000000,2010-02-24,,101,Released
2064,Dr. Dolittle 2,70000000,2001-06-22,176104344,87,Released
2065,Dr. Horrible's Sing-Along Blog,200000,2008-07-15,3,42,Released
2066,Dr. Jekyll and Ms. Hyde,8000000,1995-08-25,,90,Released
2067,Dr. Ketel,26700,2011-09-17,,80,Released
2068,Dr. No,950000,1962-10-04,59600000,110,Released
2069,Dr. Phibes Rises Again,75000,1972-07-01,,89,Released
2070,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,1964-01-29,9440272,95,Released
2071,Dr. T and the Women,12000000,2000-09-13,,121,Released
2072,Dr. Who and the Daleks,502318,1965-08-23,,82,Released
2073,Dracula,40000000,1992-11-13,215862692,128,Released
2074,Dracula,355000,1931-02-12,1012189,72,Released
2075,Dracula 2000,28000000,2000-12-22,33000337,99,Released
2076,Dracula III: Legacy,3500000,2005-01-01,,86,Released
2077,Dracula Untold,70000000,2014-10-01,215529201,92,Released
2078,Dracula: Pages from a Virgin's Diary,1596010,2002-02-28,,75,Released
2079,Dracula: Prince of Darkness,280379,1966-01-09,364937,90,Released
2080,Draft Day,25000000,2014-04-11,28831145,109,Released
2081,Drag Me to Hell,30000000,2009-03-15,90810892,99,Released
2082,Dragnet,20000000,1987-06-25,66673516,106,Released
2083,Dragon Ball Z: Resurrection 'F',5000000,2015-04-18,61768190,93,Released
2084,Dragon Blade,65000000,2015-02-19,121545703,127,Released
2085,Dragon Eyes,3000000,2012-05-10,,88,Released
2086,Dragon Hunters,15000000,2008-03-19,,80,Released
2087,Dragon Nest: Warriors' Dawn,40000000,2014-05-20,,88,Released
2088,Dragon Wars: D-War,70000000,2007-02-08,53587404,90,Released
2089,Dragon: The Bruce Lee Story,14000000,1993-05-07,63513743,120,Released
2090,DragonHeart,57000000,1996-05-31,115267375,103,Released
2091,Dragonball Evolution,100000000,2009-04-01,,85,Released
2092,Dragonfly,60000000,2002-02-22,52322400,104,Released
2093,Dragonslayer,18000000,1981-06-26,14110013,108,Released
2094,Dream House,50000000,2011-09-30,38502340,84,Released
2095,Dream Team 1935,2620000,2012-11-16,,120,Released
2096,Dreamcatcher,68000000,2003-03-21,75715436,136,Released
2097,Dreamgirls,70000000,2006-12-25,154937680,134,Released
2098,Dreaming of Joseph Lees,2000000,1999-10-29,7,92,Released
2099,Dreaming of Space,2000000,2005-06-23,696681,90,Released
2100,Dreamkiller,2500000,,,110,Released
2101,Dredd,50000000,2012-09-07,41037742,95,Released
2102,Dressed to Kill,6500000,1980-06-25,31899000,105,Released
2103,Drift,11000000,2013-07-23,,113,Released
2104,Drillbit Taylor,40000000,2008-03-20,,102,Released
2105,Drishyam,750000,2013-12-19,12000000,160,Released
2106,Drive,15000000,2011-08-06,78054825,100,Released
2107,Drive,3500000,1997-08-06,,100,Released
2108,Drive Angry,50000000,2011-02-24,28931401,105,Released
2109,Drive Hard,12000000,2014-05-26,,96,Released
2110,Drive Me Crazy,8000000,1999-10-01,22593409,91,Released
2111,Driven,94000000,2001-04-27,54744738,116,Released
2112,Driven To Kill,10000000,2009-05-01,,98,Released
2113,Driving Miss Daisy,7500000,1989-12-13,145793296,99,Released
2114,Drona,15000000,2008-10-02,3250000,150,Released
2115,Drone,4000000,2017-05-26,,91,Released
2116,Drones,500000,2010-01-23,,96,Released
2117,Drop Dead Fred,6788000,1991-04-19,13878334,103,Released
2118,Drop Dead Gorgeous,10000000,1999-07-23,10571408,98,Released
2119,Drop Zone,45000000,1994-12-08,,101,Released
2120,Drowning Mona,16000000,2000-03-03,15427192,96,Released
2121,Drugstore Cowboy,2500000,1989-09-09,4729352,100,Released
2122,Druid Peak,114000,2014-03-28,,111,Released
2123,Drumline,20000000,2002-12-13,57588485,118,Released
2124,Dual,1000000,2013-08-22,,102,Released
2125,"Dude, Where’s My Car?",13000000,2000-12-15,73180723,83,Released
2126,Dudley Do-Right,70000000,1999-08-27,,77,Released
2127,Due Date,65000000,2010-11-04,211780824,95,Released
2128,Duel,450000,1972-10-01,,74,Released
2129,Duel in the Sun,6000000,1946-12-31,20400000,144,Released
2130,Duma,12000000,2005-04-22,,100,Released
2131,Dumb and Dumber,16000000,1994-12-16,247275374,107,Released
2132,Dumb and Dumber To,40000000,2014-11-12,169837010,110,Released
2133,Dumb and Dumberer: When Harry Met Lloyd,19000000,2003-06-13,39267515,85,Released
2134,Dumbo,812000,1941-10-22,1600000,64,Released
2135,Dune,40000000,1984-12-14,30925690,137,Released
2136,Dungeons & Dragons,35000000,2000-12-08,15185241,107,Released
2137,Dungeons & Dragons: The Book of Vile Darkness,12000000,2012-08-08,,90,Released
2138,Duniyadari,390000,2014-07-19,3,148,Released
2139,Dunkirk,100000000,2017-07-19,519876949,107,Released
2140,Dunston Checks In,16000000,1996-01-12,,88,Released
2141,Duplex,40000000,2003-09-26,19322135,89,Released
2142,Duplicity,78146652,2009-03-19,60000000,125,Released
2143,Dust Devil,8000000,1992-08-08,,103,Released
2144,Dutch,17000000,1991-07-19,4603929,107,Released
2145,Dying of Laughter,3000000,1999-03-12,,113,Released
2146,Dying of the Light,15000000,2014-12-04,,94,Released
2147,Dyke Hard,30000,2015-02-08,,94,Released
2148,Dylan Dog: Dead of Night,20000000,2011-03-16,4634062,107,Released
2149,Dysfunctional Friends,1800000,2012-02-03,,101,Released
2150,Déjà Vu,75000000,2006-11-22,180557550,126,Released
2151,E.T. the Extra-Terrestrial,10500000,1982-04-03,792965326,115,Released
2152,EMR,150000,2004-01-01,,86,Released
2153,EVA,7000000,2011-10-28,,94,Released
2154,Eagle Eye,80000000,2008-09-25,178066569,118,Released
2155,Earth,15000000,2007-04-22,109000000,90,Released
2156,Earth Days,1200000,2009-08-14,,90,Released
2157,Earth Girls Are Easy,10000000,1988-09-08,3916303,100,Released
2158,Earth to Echo,13000000,2014-06-14,45300000,89,Released
2159,Earth's Final Hours,1800000,2011-05-31,,84,Released
2160,Earthquake,7000000,1974-11-15,79666653,123,Released
2161,East Is East,3800000,1999-05-14,28200000,97,Released
2162,East of Eden,1,1955-03-09,5,115,Released
2163,East of Sudan,85,1964-10-02,,85,Released
2164,Eastern Promises,51500000,2007-09-14,55112356,100,Released
2165,Easy A,8000000,2010-09-10,74952305,92,Released
2166,Easy Rider,360000,1969-05-07,,95,Released
2167,Easy on the Eyes,2153912,2014-02-27,4864560,83,Released
2168,Eat Locals,2073816,2017-04-06,,93,Post Production
2169,Eat Pray Love,60000000,2010-08-12,204594016,133,Released
2170,Eaten Alive,520000,1976-12-25,,91,Released
2171,Eating Out,50000,2004-02-14,,90,Released
2172,Eating Raoul,350000,1982-03-24,,87,Released
2173,Eccentricities of a Blonde-Haired Girl,2500000,2009-02-10,,64,Released
2174,Ed Gein: The Butcher of Plainfield,1500000,2007-03-06,,90,Released
2175,Ed Wood,18000000,1994-09-27,5887457,127,Released
2176,Eddie the Eagle,23000000,2016-02-26,46152411,106,Released
2177,Eden,2300000,2015-10-22,,97,Released
2178,Edge of Darkness,80000000,2010-01-29,74901339,117,Released
2179,Edge of Seventeen,1500000,1998-05-14,870751,99,Released
2180,Edge of Tomorrow,178000000,2014-05-27,370541256,113,Released
2181,Edges of the Lord,7500000,2001-01-01,,95,Released
2182,Edmond,10000000,2005-08-31,,82,Released
2183,Edtv,80000000,1999-03-26,,122,Released
2184,Edward Scissorhands,20000000,1990-12-05,53000000,105,Released
2185,Edwin Boyd: Citizen Gangster,5000000,2011-09-10,,105,Released
2186,Eega,5990000,2012-06-06,19450000,145,Released
2187,Eegah,15000,1962-06-08,3274,90,Released
2188,Eggshells,100000,1969-01-01,,89,Released
2189,Eichmann,8000000,2007-09-22,,100,Released
2190,Eight Below,40000000,2006-02-17,120455994,120,Released
2191,El Dorado,4653000,1966-12-17,6000000,120,Released
2192,El Gringo,3000000,2012-05-10,,98,Released
2193,El Mariachi,220000,1992-09-04,2040920,81,Released
2194,El Topo,400000,1970-12-18,,125,Released
2195,Elaine Stritch: At Liberty,300000,2002-01-01,,140,Released
2196,Elegy,13000000,2008-08-08,14894347,112,Released
2197,Elektra,43000000,2005-01-13,56681566,97,Released
2198,Elephant,3000000,2003-05-18,10012022,81,Released
2199,Elephant White,10000000,2011-05-17,,91,Released
2200,Elephants Dream,150000,2006-03-24,,11,Released
2201,Elevator,5000000,2011-01-01,,84,Released
2202,Elevator,260,2008-04-04,,85,Released
2203,Elevator Movie,25000,2004-08-22,,0,Released
2204,Elf,32000000,2003-10-09,173398518,97,Released
2205,Elf Bowling the Movie,6500000,2007-10-02,,82,Released
2206,Elite Squad,4000000,2007-10-12,,115,Released
2207,Elizabeth,30000000,1998-09-13,82150642,124,Released
2208,Elizabeth: The Golden Age,55000000,2007-09-09,74237563,114,Released
2209,Elizabethtown,57000000,2005-10-06,52034889,123,Released
2210,Ella Enchanted,31000000,2004-04-09,27388767,96,Released
2211,Elle,9804690,2016-05-25,2341534,130,Released
2212,Elle: A Modern Cinderella Tale,250000,2011-04-26,,90,Released
2213,Elles,4000000,2011-09-09,911466,96,Released
2214,Elmer Gantry,3000000,1960-06-19,10400000,146,Released
2215,Elsa & Fred,10000000,2014-03-07,,104,Released
2216,Elsewhere,500000,2009-01-15,,100,Released
2217,Elstree 1976,370000,2015-10-09,,90,Released
2218,Elvis,2100000,1979-02-10,,150,Released
2219,Elvis Has Left the Building,11500000,2004-08-27,,90,Released
2220,Elvis and Me,8000000,1988-02-07,,240,Released
2221,Elysium,115000000,2013-08-07,286140700,109,Released
2222,Embrace of the Serpent,1400000,2015-05-25,1320005,125,Released
2223,Embrace of the Vampire,500000,1995-05-30,,92,Released
2224,Emma,6000000,1996-08-02,22231658,121,Released
2225,Emmanuelle,500000,1974-06-25,,89,Released
2226,Empire,4000000,2002-12-06,18591272,90,Released
2227,Empire State,11000000,2013-09-03,3639345,94,Released
2228,Empire of the Sun,35000000,1987-12-09,22238696,153,Released
2229,Empire of the Wolves,24000000,2005-04-20,11875866,128,Released
2230,Employee of the Month,12000000,2006-10-06,38368909,103,Released
2231,Enchanted,85000000,2007-11-20,340487652,107,Released
2232,Enchanted Kingdom,18,2014-03-25,,87,Released
2233,End Game,5000000,2006-03-22,,93,Released
2234,End of Days,100000000,1999-11-24,211989043,121,Released
2235,End of Watch,7000000,2012-09-20,48126384,109,Released
2236,End of a Gun,7500000,2016-09-23,,87,Released
2237,Ender's Game,110000000,2013-10-23,125537191,114,Released
2238,Endgame,22000000,2009-01-18,,109,Released
2239,Endless Love,20000000,2014-02-12,34077920,103,Released
2240,Enemies Closer,5000000,2013-12-04,,85,Released
2241,Enemies with Benefits,20000,2016-01-15,,65,Released
2242,Enemy Mine,40000000,1985-12-12,12303411,108,Released
2243,Enemy at the Gates,68000000,2001-03-13,96976270,131,Released
2244,Enemy of the State,90000000,1998-11-20,250649836,132,Released
2245,English Vinglish,2840000,2012-09-14,11620000,133,Released
2246,Enough,38000000,2002-05-24,51801187,114,Released
2247,Enquiring Minds: The Untold Story of the Man Behind the National Enquirer,750000,2014-10-16,,98,Released
2248,Enter the Dragon,850000,1973-08-17,90000000,99,Released
2249,Enter the Void,13000000,2009-05-05,754249,161,Released
2250,Enthiran,26400000,2010-10-01,62000000,155,Released
2251,Entourage,30000000,2015-06-03,49263404,104,Released
2252,Entrapment,66000000,1999-04-29,212404396,112,Released
2253,Envy,40000000,2004-04-30,,99,Released
2254,Epic,100000000,2013-05-15,268426634,102,Released
2255,Epic Movie,20000000,2007-01-25,86865564,86,Released
2256,Equals,16000000,2015-07-15,2084628,101,Released
2257,Equilibrium,20000000,2002-12-06,5359645,107,Released
2258,Eragon,100000000,2006-12-14,249288105,104,Released
2259,Erased,12000000,2012-09-27,,100,Released
2260,Eraser,100000000,1996-06-21,242295562,115,Released
2261,Eraserhead,10000,1977-03-19,7000000,89,Released
2262,Erin Brockovich,52000000,2000-03-17,256271286,131,Released
2263,Ernest & Celestine,12516654,2012-12-12,8109160,78,Released
2264,Ernest Goes to Camp,3000000,1987-05-22,23509382,92,Released
2265,Ernest Saves Christmas,6000000,1988-11-11,28202109,95,Released
2266,Errors of the Human Body,1500000,2012-09-23,,102,Released
2267,Esa ja Vesa – auringonlaskun ratsastajat,3120375,1994-11-10,,,Released
2268,Escape Plan,50000000,2013-10-09,122915111,115,Released
2269,Escape from Alcatraz,8000000,1979-06-22,43000000,111,Released
2270,Escape from L.A.,50000000,1996-08-09,42277365,97,Released
2271,Escape from New York,6000000,1981-05-22,50244700,99,Released
2272,Escape from Planet Earth,40000000,2013-02-14,74597643,89,Released
2273,Escape from Tomorrow,650,2013-10-11,,90,Released
2274,Escape from the Planet of the Apes,2500000,1971-05-20,12348905,98,Released
2275,Escape to Victory,10000000,1981-06-17,27453418,116,Released
2276,Escobar: Paradise Lost,17000000,2014-10-11,3758328,120,Released
2277,Eskil & Trinidad,4200000,2013-03-29,,98,Released
2278,Espacio interior,2500000,2013-07-26,,87,Released
2279,Essential Killing,3167000,2010-09-06,,84,Released
2280,Eternal Sunshine of the Spotless Mind,20000000,2004-03-19,72258126,108,Released
2281,Ethos,500000,2011-01-01,,72,Released
2282,Eu Fico Loko,2500000,2017-01-12,,,Released
2283,EuroTrip,25000000,2004-02-20,20796847,93,Released
2284,Europa Report,125687,2013-06-27,,90,Released
2285,Eva,3383700,2010-08-01,,111,Released
2286,Evan Almighty,175000000,2007-06-09,173000000,96,Released
2287,Eve and the Fire Horse,1500000,2005-09-09,,92,Released
2288,Eve of Destruction,13000000,1991-01-18,,99,Released
2289,Even Cowgirls Get the Blues,8000000,1994-05-13,,96,Released
2290,Even Dwarfs Started Small,200000,1970-09-16,,96,Released
2291,Even the Rain,10600000,2010-09-16,,104,Released
2292,Event Horizon,60000000,1997-08-15,26673242,96,Released
2293,Ever After: A Cinderella Story,26000000,1998-07-31,65705772,121,Released
2294,Everest,55000000,2015-09-10,203427584,121,Released
2295,Everlasting Moments,70000000,2008-09-24,,131,Released
2296,Every Which Way But Loose,5,1978-12-19,85,110,Released
2297,Everybody Loves Somebody,2000000,2017-02-10,,102,Released
2298,Everybody Wants Some!!,10000000,2016-03-30,3400278,116,Released
2299,Everybody Wants to Be Italian,1100000,2007-09-18,,105,Released
2300,Everybody's Fine,21000000,2009-12-04,,99,Released
2301,Everyone Says I Love You,20000000,1996-12-06,,101,Released
2302,Everything Must Go,5000000,2010-10-15,2614773,97,Released
2303,Everything Put Together,500000,2001-11-02,,87,Released
2304,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,2000000,1972-08-06,18016290,88,Released
2305,Everything is Illuminated,7000000,2005-09-16,2697930,106,Released
2306,"Everything, Everything",10000000,2017-05-19,,96,Released
2307,Evil Aliens,500000,2006-03-10,,93,Released
2308,Evil Behind You,200000,2006-10-31,,90,Released
2309,Evil Dead,17000000,2013-04-05,97542952,91,Released
2310,Evil Dead II,3600000,1987-03-13,5923044,84,Released
2311,Evil Things,20000,2009-06-17,,86,Released
2312,Evil Toons,140000,1992-01-08,,90,Released
2313,Evilenko,9700000,2004-04-16,,111,Released
2314,Evilspeak,1000000,1981-08-22,,93,Released
2315,Evita,55000000,1996-12-14,141047179,134,Released
2316,Evocateur: The Morton Downey Jr. Movie,300000,2013-06-07,,87,Released
2317,Evolution,80000000,2001-06-08,98376292,101,Released
2318,Ex,10000000,2009-02-06,,120,Released
2319,Ex Machina,15000000,2015-01-21,36869414,108,Released
2320,Excalibur,11000000,1981-04-10,34967437,140,Released
2321,Executive Decision,55000000,1996-03-15,121969216,133,Released
2322,Exiled,4500000,2006-09-06,,110,Released
2323,Exit,1000000,2000-07-11,,110,Released
2324,Exit Humanity,300000,2011-10-16,,114,Released
2325,Exit Marrakech,6000000,2013-06-28,,123,Released
2326,Exit Wounds,50000000,2001-03-13,79958599,101,Released
2327,Exodus,4000000,1960-03-27,21750000,208,Released
2328,Exodus: Gods and Kings,140000000,2014-12-03,268031828,150,Released
2329,Exorcist II: The Heretic,14000000,1977-06-17,30749142,118,Released
2330,Exorcist: The Beginning,80000000,2004-08-20,78000586,114,Released
2331,Expecting Love,3,2008-02-29,,110,Released
2332,Expelled: No Intelligence Allowed,3500000,2008-04-18,7700000,90,Released
2333,Explorers,25000000,1985-07-12,9873044,109,Released
2334,Extinction: Nature Has Evolved,3400000,2017-03-10,,100,Released
2335,Extract,8000000,2009-09-03,10848783,92,Released
2336,Extraction,1100000,2013-09-05,,102,Released
2337,Extraordinary Measures,31000000,2010-01-21,15134293,105,Released
2338,Extreme Measures,38000000,1996-09-27,17380126,118,Released
2339,Extreme Ops,40000000,2002-11-27,10959475,93,Released
2340,Extremely Loud & Incredibly Close,40000000,2011-12-24,55247881,129,Released
2341,Eye for an Eye,20000000,1996-01-12,,101,Released
2342,Eye in the Sky,13000000,2015-09-11,18704595,102,Released
2343,Eye of the Beholder,15000000,1999-09-04,,109,Released
2344,Eye of the Dolphin,2500000,2007-08-24,71904,100,Released
2345,Eyeborgs,3700000,2009-04-29,,103,Released
2346,Eyes Wide Shut,65000000,1999-07-14,162091208,159,Released
2347,Eyes of Laura Mars,7000000,1978-08-02,20000000,104,Released
2348,Eyes of a Stranger,800000,1981-02-11,,84,Released
2349,F,1300000,2010-09-07,,79,Released
2350,F.C. De Kampioenen: Kampioen zijn blijft plezant,3849796,2013-12-17,7471304,115,Released
2351,F.I.S.T.,11,1978-04-26,11,145,Released
2352,F/X2,16400000,1991-04-16,,108,Released
2353,FC Venus,2196531,2005-12-30,2411594,107,Released
2354,Face-Off,600,1971-11-12,,105,Released
2355,Face/Off,80000000,1997-06-27,245676146,138,Released
2356,Faces,275000,1968-11-24,,130,Released
2357,Faces in the Crowd,15000000,2011-10-25,,102,Released
2358,Facing the Giants,100000,2006-09-29,10178331,111,Released
2359,Factory Girl,7000000,2006-12-29,,90,Released
2360,Fading of the Cries,450000,2011-07-08,,90,Released
2361,Fahrenheit 9/11,6000000,2004-06-25,119114517,122,Released
2362,Failure to Launch,50000000,2006-03-10,128406887,97,Released
2363,Fair Game,50000000,1995-11-03,11534477,91,Released
2364,Fair Game,22000000,2010-05-20,24188922,108,Released
2365,Faith Connections,550000,2013-11-21,,115,Released
2366,Faithful,13000000,1996-04-03,9789900,91,Released
2367,Fakta Ladh Mhana,10,2011-08-05,,145,Released
2368,Fall from Grace,7000,2007-03-12,,71,Released
2369,Fall of the Republic: The Presidency of Barack H. Obama,200000,2009-10-21,,144,Released
2370,Falling,2705100,2006-09-08,,88,Released
2371,Falling Down,25000000,1993-02-26,40903593,113,Released
2372,Falling From Grace,3,1992-02-21,232,100,Released
2373,Falling Overnight,50000,2011-11-11,,86,Released
2374,Family Plot,2000000,1976-04-09,7900000,121,Released
2375,Fan,16000000,2016-04-15,29251596,142,Released
2376,Fanaa,5300000,2006-05-26,22175908,168,Released
2377,Fantasia,2280000,1940-11-13,83320000,124,Released
2378,Fantasia 2000,80000000,1999-12-17,90874570,74,Released
2379,Fantastic 4: Rise of the Silver Surfer,130000000,2007-06-13,289047763,92,Released
2380,Fantastic Beasts and Where to Find Them,180000000,2016-11-16,809342332,133,Released
2381,Fantastic Four,100000000,2005-06-29,330579719,106,Released
2382,Fantastic Four,120000000,2015-08-05,167977596,100,Released
